title_factor,artist_name_factor,max_duration
Starry eyes,Roky Erickson,283.55873
Absolutely Sweet Marie,George Harrison,283.53261
This Christmas (Could Be The One),Ledisi,283.53261
Excuse Me John,Shakespears Sister,283.48036
Shine,Amel Larrieux,283.42812
Zamba ben,Clube Do Balanço,283.42812
Come Back (LP Version),Keith Sweat,283.42812
Heart Country,Fire Town,283.402
Oh The Glory Of His Presence (LP Version),Karen Clark Sheard,283.402
Generation Landslide,Lizzy Borden,283.37587
We Welcome You,Billy Thorpe,283.34975
As I Stand Here (Cyrus Rex & Anon Remix),Modwheelmood,283.34975
When You Leave Don't Take Nothin,"Artie ""Blues Boy"" White",283.34975
A Lot Of Stick (But Not Much Carrot),Bentley Rhythm Ace,283.32363
We're Looking For A Lot Of Love,Hot Chip,283.32363
Torn,Evergrey,283.29751
Homebound,Jesse Cook,283.24526
They'll Never Take Me,Squad Five-0,283.21914
Tanto La Queria,Andy & Lucas,283.14077
Uno,Mauro Pagani,283.14077
Sway,The Mermen,283.11465
Frauen kommen langsam - aber gewaltig,Ina Deter,283.08853
your ship looks like a captain,Masters Of The Hemisphere,283.08853
Rain Receding,Roy Montgomery,283.08853
"Medley: Moonglow/Picnic (Theme from ""Picnic"")",Chet Atkins & Les Paul,283.03628
Space Captain,Black Crowes,283.01016
The Birds in Your Chest,Cars & Trains,283.01016
Sushan,Balkan Beat Box,282.90567
Suspicious,Ten City,282.90567
Quand Je Suis Seul,Marc Lavoine,282.87955
Hoodoo Woman Blues,Smokehouse,282.8273
You Can't Do It Alone (LP Version),Chic,282.80118
Coming After You Again,Icecream Hands,282.77506
Reflection Of The Cuckoo,Twilightning,282.74893
Amok Run,Sentenced,282.64444
It Means,Dokken,282.5922
Gun,Soundgarden,282.48771
Lonely,Shannon Noll,282.46159
Lonely,My Computer,253.57016
Fafaru,Eric Marienthal,282.46159
Do Dat,Petey Pablo,282.46159
Love Shuffle,Tattoo Rodeo,282.43546
Poor Little Girl,Bjorn Berge,282.30485
Punjabian Di Chale Glassi,Bally Sagoo,282.25261
That's Paradise (The Live Adventure Album Version),Steven Curtis Chapman,282.22649
Medley:,Bernard Herrmann,282.20036
Build Ya Skillz,KRS-One featuring Basta Rhymes,282.17424
Cannibal Crave,Broken Hope,282.17424
Biggest Part of Me,David Pack,282.14812
Progress,Kerry Livgren,282.122
Forbidden,Fight K5,282.04363
John The Revelator (Bill Hamel's Audio Magnetics Edit),Depeche Mode,281.99138
The Massenger,Turisas,281.99138
Bionic,Groove Collective,281.99138
Bumble Bee,Skip James,281.93914
Donovan Said,The Brian Jonestown Massacre,281.91302
Tuba Song,Drums & Tuba,281.88689
To My Bones,Wallis Bird,281.80853
Careless Love,Big Joe Turner,281.80853
Careless Love,Walter Horton,280.65914
Bouncing Sax,George Morel,281.7824
Feels Alright,The Turn-Ons,281.75628
No Time Flat,Kevin Devine,281.75628
Right On (Splitloop Remix),Freestylers,281.75628
Deficit Mindset,Absurd Minds,281.73016
You Got The Bomb,Brian McKnight,281.73016
Hollow Be My Name,Poisonblack,281.70404
Sister Sister,Heavy D & The Boyz,281.65179
Tarpoleon Napoleon,Shelby Lynne,281.59955
Groove With Me,Kim Waters,281.59955
Every Day I Have The Blues,Count Basie And Joe Williams,281.59955
Autumn Spirit,Cybertribe,281.5473
Go Go Girls,Alexis & Fido Feat. Erick Right,281.52118
Keep Slipping Away (Cereal Spiller Remix),A Place to Bury Strangers,281.46893
Heaven's Color,D'espairsRay,281.44281
Dying In the Worst Way,Necessary Response,281.3122
The Last Summer,Cooler Kids,281.3122
Switchin' The Wave Of Thought (Reprise),Aural Float,281.28608
Ar Chas Ruz,Denez Prigent,281.25995
When I Fall,It Bites,281.18159000000003
The Anvil,Visage,281.12934
El Torques,Hevia,281.10322
Bethlehem Dawn,Todd Agnew,281.05098
Internet Love,Port-Royal,281.05098
Overdrive,Noize Suppressor,281.02485
Life Is Better,Q-Tip / Norah Jones,281.02485
The Move,Boom Bip,280.99873
Me Metí En Tu Alma,Peter Manjarrés & Franco Argüelles,280.89424
Sweet Vibrations,Latimore,280.81587
Widgets,The Disco Biscuits,280.76363
Dorothy Parker Blue,The Real Tuesday Weld,280.76363
Bad Cup Of Coffee,Go To Blazes,280.65914
Harper Road,Mark Kozelek,280.63302
I Have A Dream,Westlife,253.64853
I Have A Dream,UMOJA,280.63302
Silhouette,Jeff Golub,280.60689
Where They Walk Over Sainte Therese,The Loud Family,280.58077
With You,Jamie Foxx featuring The Game and Snoop Dogg,280.55465
An Ocean Away,Seventh Key,280.52853
Hölle,K.I.Z.,280.34567
Communion,Swing Out Sister,280.2673
Tid (För Tango),Peps Blodsband,280.18893
Little Unrest,Thirteen Senses,280.16281
Untied & True,Bang Tango,280.13669
Rich,Yeah Yeah Yeahs,280.11057
Resurgance Of An Empire,Cryptopsy,280.08444
Soy,Sul.a,280.08444
Save The Children (Live),Marlena Shaw,280.0322
Sense of Time,Tears Run Rings,280.0322
Oceanic Part 2,Anoushka Shankar and Karsh Kale feat. Ravi Shankar,280.0322
Former Self (v.1.0),Icon Of Coil,279.97995
Tu Joues Toujours,Charlelie Couture,279.95383
Mountain Boogie,Bjørn Berge,279.92771
The Last Stand Of Shazeb Andleeb,Frank Black,279.87546
Lost Memory,Secret Shine,279.84934
Almost Forgot Myself (Demo),Doves,279.84934
Musterion,Joe Satriani,279.84934
La Marmotte,Fred Fortin,279.84934
Systematic Self,Lake Trout,279.82322
Kontrol,Slaï,279.7971
Transmission,The Forms,194.89914
Transmission,Boys Noize,279.77098
Homesick,Train,279.74485
Young Nation,Aaliyah,279.74485
Crash and Burn (feat. Rakaa) (Amended Album Version),Transplants,279.74485
Keep On Swingin',Carl Carlton And The Songdogs,279.74485
Upon This Rock (Not Ashamed Album Version),Newsboys,279.74485
Pena De Amor,Puerto Rican Power,279.61424
Your Love,Daylight Torn,279.562
The Beginning Of Sorrows (Album),Trouble,279.562
New Year's Prayer,Jeff Buckley,279.562
flotter tag,Moca,279.53587
Sands Of Time,The Undecided,205.16526
Sands Of Time,EDGUY,279.50975
Apartment 213,Acumen Nation,279.48363
Labyrinthine,Die Laughing,279.45751
Midnight To Stevens,The Clash,279.43138
Somethin' To Ride To (Fonky Expedition) (Remix),The Conscious Daughters,279.40526
Innards,Bullitnuts,279.40526
Ain't Life Grand,Black Label Society,279.37914
Empty,Del Amitri,279.35302
Spicy Dream,Govi,279.30077
New Year's Eve,Kashmir,279.17016
Indy 500,Binary Star,279.17016
Me la pela... a mi ké?,Grossomodo,279.17016
Watch Me Explode,X Makeena,279.11791
What's Going On (Featuring Chuck D),Cyndi Lauper,278.9873
MacArthur Park,Stanley Turrentine,278.93506
What Does It mean,Joi Cardwell,278.90893
Barefoot,Eliane Elias,278.88281
Corduroy,Pearl Jam,278.85669
The Bending Sea,Beyond The Embrace,278.85669
Liquor Store,Scud Mountain Boys,278.80444
Corrine,Joy Askew,278.77832
Smoke,Natalie Imbruglia,278.72608
Defense (Part 1),Zentriert Ins Antlitz,278.69995
Hitsingle,Massive Töne,278.69995
De Aanslag,Pita,278.67383
La Calle De Los Morenos,Los Delinqüentes,278.67383
Amor Que Desapareces,Los Pericos,278.64771
Heaven Help Me,Deon Estus,278.62159
qplay,Autechre,278.62159
Starting All Over,Jeremih,278.62159
Shotgun Wedding,Peer Günt,278.62159
Baby Daddy (Amended Version),Lil Scrappy,278.62159
Las Cazuelas (2000 remix),Jose Padilla,278.59546
We're The Pet Shop Boys,Pet Shop Boys,278.59546
If God Will Send His Angels,U2,278.49098
Down To It,Sugarman 3,278.49098
Dream Operator (2005 Digital Remaster),Talking Heads,278.49098
I Wish It Could Be Christmas Everyday,Wizzard,278.49098
Love Hides,Yonderboi,278.43873
Body Of Years,Mother Mother,278.38649
You've Been Spiked,Chris Joss,278.38649
Coming Home,Keith Martin,278.36036
Coming Home,Lonesome Standard Time,204.43383
The Takedown (Live),Yellowcard,278.36036
Herpes Simplex,Latex Empire,278.36036
Cowboys and Indians,Lily Holbrook,278.36036
The Place Between Us,Chris Botti,278.36036
Turnedo,Ivan Ferreiro,278.33424
Be Careful,Patty Griffin,278.20363
Chord Simple,Broadcast,278.17751
Brautigan (Giorni Che Finiscono),Perturbazione,278.12526
El Mauro,Gipsy Kings,278.09914
Favorite Song Of All,The Brooklyn Tabernacle Choir,278.07302
Freeway Dixieland Rocketship Blues,Tim Buckley,278.02077
Sometimes I Wonder Why  (LP Version),Anita Baker,278.02077
Factor X Divided By Numerical Code,Knives Exchanging Hands,277.99465
Arrieiros Somos,Xose Manuel Budiño,277.99465
No Importa,Binomio de Oro de América,277.99465
Ce Bruit,Wim Mertens,277.99465
when all is said ...,Painbastard,277.96853
Hard Life,Big Tymers / Juvenile / Lil Wayne,277.96853
Royal Vibes,Ky-Mani Marley,277.9424
Buried Alive,Fates Warning,277.91628
Drawing Board,Terri Walker,277.91628
Mar Morro,Cérebro Eletrônico,277.91628
(Only A) Summer Love,REO Speedwagon,277.89016
Nightlite (Zero dB Reconstruction - Radio Edit),Bonobo feat.  Bajka,277.86404
Ceremony,New Order,277.83791
How I Got Over,Mahalia Jackson,277.57669
The Betrayal,Wolfchant,277.55057
Cream,Morthem Vlade Art,277.52444
Lost Art Of Murder,Babyshambles,277.52444
I Got Lost,Dinosaur Jr.,277.4722
Sexo,Ultraje A Rigor,277.4722
Surrealism & Blues,Ben Weaver,277.44608
All I Ever Wanted Was You,Francis Dunnery,277.44608
We Fall Down (Live Version),Salvador,277.39383
Albergo A Ore,Gino Paoli,277.39383
I Believe in Something,Too Much Joy,277.36771
You've Got To Love,The Lilac Time,277.36771
Baisies,Mr. Scruff,277.34159
Understand Me Still,Memphis Bleek / Rell,277.34159
Jesus For President,Deitrick Haddon,277.28934
Chickahominy Fred,keller williams,277.21098
Skeleton,Blk Jks,277.18485
She's Playing Hard To Get,Hi-Five,277.15873
Lost In Feelings,The Mist Of Avalon,277.15873
You Call It Madness,Diana Krall,277.08036
See In You,The Album Leaf,277.08036
Pretty Girl,Eric Roberson,277.05424
English Lesson (Remix),DJ Format,277.02812
Ukraine,A Shoreline Dream,277.002
Standing Still,KA SO RE,277.002
See Saw (1992 Digital Remaster),Pink Floyd,276.97587
Predator (Album Version),Carnivore,276.94975
Skriger Til Himlen,Anne Linnet,276.92363
Ned Lud,Robert Calvert,276.89751
I Say When I Drink What I Think When I'm Sober,Roger Creager,276.87138
Get Live and Go,Grand Analog,276.84526
Axel Landquists Park,Thåström,276.81914
Mealworm,Valis,276.74077
Seven,Fever Ray,276.71465
Headless,Run Level Zero,276.68853
Volvió El Dolor,Binomio de Oro de América,276.68853
Little Miss Lovin' (Remastered LP Version),Chicago,276.6624
Cosmic Monkey,Paul Brown,276.63628
Mr. Wrong,Cracker,276.63628
Emptiness,Cosmic Rough Riders,276.61016
Save My Soul,Padi,276.58404
Soeldnerschwein,Black Messiah,276.55791
Heitä Surusi Pois,TOMMI LÄNTINEN,276.53179
A Child Is Waiting,Stephen Duffy,276.50567
Soon As You're Ready,Billy Ocean,276.50567
My harbour,Corde Oblique,276.45342
Humble Me,Norah Jones,276.40118
Some Of These Days,September Collective,276.40118
Streets Of Laredo/Not Long For This World,Prefab Sprout,276.27057
Goodbye,Honeyroot,276.21832
Goodbye,Dead Hearts,139.41506
Kiuas War Anthem,Kiuas,276.16608
Cut,Screamfeeder,276.13995
Flaca,Andres Calamaro,276.13995
'T Is Nooit Te Laat,Rob De Nijs,276.06159
She Called,Peggy Sue,276.06159
Diamadon,Issa Bagayogo,276.06159
Zamana Birakma Bizi,Gripin,276.06159
It's Not Music,Cabaret Voltaire,276.03546
Van Said (Sha La La),Curtis Stigers,276.00934
Get Up Off Your Fat,Rose Royce,275.9571
Sweet Dreams Of Madness,Bloodbound,275.9571
If Everything You Said Was True,Danny Wilson,275.9571
Lost My Guitar,Otis Taylor,275.93098
Unafraid To Linger,LFO,275.87873
We Stand Alone,Ultima Bleep,275.85261
Storia D'amore,Tonino Carotone,275.85261
Slow me down,Devin Townsend Band,275.82649
Let The Worshippers Arise - LP Version,Pocket Full Of Rocks,275.74812
Learning To Breathe,Switchfoot,275.722
Farrell To D.C.,Marco Beltrami,275.69587
Dove Sei Tu,Cristina Donà,275.66975
Sing To Me,Lisa Miskovsky,275.64363
Overgoat (Remixed By Void Manes),Melvins,275.61751
The Gift,3rd Force,275.56526
Blessing in Disguise,The Chicharones,275.53914
Distance,The Jim Yoshii Pile-up,275.51302
Love Song (Live),Korn,275.48689
Cracks Of My Broken Heart (Album Version),Eric Benét,275.46077
Hunger,Patricia Barber,275.46077
Facts Of Love (Album Version),Chaka Khan,275.40853
Led Astray,Sirenia,275.40853
This Is My Song,Mcfadden & Whitehead,275.40853
Ask Her For Water,T-Model Ford,275.35628
Def Jam In The Motherland,LL Cool J,275.33016
Heavenly,Peabo Bryson,275.33016
Poc a Poc,Fes-te Fotre,275.33016
B.B.D. (I Thought It Was Me)?,Bell Biv DeVoe,275.30404
The boy with the boomerang,Askil Holm,275.19955
Sex Therapy,Robin Thicke,275.19955
Whenever You're In Trouble,Donny Osmond,275.17342
Throb,Janet Jackson,275.17342
A Radiant Band Of Light,Christopher Franke,275.17342
Supercar Trip Album Version,Flaminio Maphia,275.1473
A Train To Nowhere,Ripperton,275.12118
Jack Au Banjo,Jacques Higelin,275.12118
Turn Smile Shift Repeat,Phantom Planet,275.12118
Hush (Album Version),Catie Curtis,275.09506
Everyday Now,Texas,275.09506
Rags To Riches (Final Explicit Album Version),Trick Daddy,275.09506
It Might As Well Be Spring,Johnny Mathis;Henry Mancini_ His Orchestra & Chorus,275.06893
Screams Of The Undead (Demon Hunter Album Version),Demon Hunter,275.01669
Vanished Like the Show,Solas,274.96444
El amor de mi vida,Pablo Milanés,274.96444
Rage,The Last Dance,274.93832
Hold On To My Heart,Last Autumn's Dream,274.93832
Courtney Blows,Soul II Soul,274.88608
Sharing A Gibson With Martin Luther King,Lambchop,274.85995
Like A Punch In The Head,Daniel Lemma,274.83383
Tiers Of Joy,Funki Porcini,274.75546
La Danse De La Vie,BeauSoleil,274.75546
Other Worlds,Sun Ra,274.72934
You & I,Joe Zangie,274.6771
Damaged,Sevendust,274.46812
Damaged,Plumb,236.64281
InTROpassion,Bruno Sanfilippo,274.41587
Bin nur ein Johnny,Udo Lindenberg;Helge Schneider,274.41587
The Rain Won't Help You When It's Over,Whiskeytown,274.41587
Nocturnal Vision,Borknagar,274.41587
Nasal Zoster Spider,The Gasman,274.36363
Only you,Doctor Flake,274.36363
Breaking The Silence,Queensryche,274.33751
One Small Step,ATB,274.31138
You're The First_ The Last_ My Everything,Barry White,274.31138
Jump Over,De-Phazz,274.28526
Log 22,Bettie Serveert,274.25914
Is This The End? (Featuring Ginuwine_ Twista & Carl Thomas)(Album Version),Puff Daddy & The Family,274.23302
Loba,Shakira,274.15465
Un Beso Y Una Flor,Nino Bravo,274.12853
J'ai La Rime,Mafia K'1 Fry,274.12853
Electioneering,Easy Star All-Stars,274.1024
With Every Beat Of My Heart,Laura Branigan,274.1024
Move on,Tracy Nelson,274.07628
Liquid Silver Moments,Fisk Industries,274.05016
Say You Will,Sunstorm,274.02404
High School,Epic Hero,273.94567
I baw,Sonia Dersion,273.94567
Lo Que Sangra (La Cúpula),Soda Stereo,273.94567
Beauty And The Beast,Vanilla Muffins,273.89342
Midnight Moses,The Sensational Alex Harvey Band,273.89342
Funky Fight Parts 1 & 2,Royal Crescent Mob,273.89342
Raining Revolution (Instrumental) (Live),ARRESTED DEVELOPMENT,273.81506
Escape The Judgement,Capleton,273.81506
Arrhythmia (Album Version),Idiot Pilot,273.78893
Daterape Cookbook,Thought Industry,273.78893
Puccini,John Patitucci,273.76281
Love Revelation,Daryl Hall,273.76281
Black Dog,Masterplan,273.76281
Szeretnélek,Zanzibar,273.76281
Stories Of The Street,Leonard Cohen,273.71057
Illumination,Christopher Franke,273.68444
Crossroads,Michel Camilo,273.65832
Heaven's What I Feel,Gloria Estefan,273.65832
World Of Uncertainty,Third World,273.6322
Last Goodbye (Album Version),Kenny Wayne Shepherd Band,273.60608
Sinister Militia,Telepathe,273.57995
Enter And Leave,Britta Persson,273.55383
Snuggle Up,Brian Bromberg,273.52771
Return to Me,Witchcraft,273.52771
The Down Beat,The Sugarhill Gang [Kory-O_ Wonder Mike_ Big Bank Hank],273.52771
Trouble,Shawn Colvin,235.38893
Trouble,Coldplay,273.47546
No Pretending,Hundred Reasons,273.42322
Lovebirds,Dodgy,273.42322
Blown Out (Gold Doubloons and Pcs of 8),Benjy Ferree,273.3971
Strangled,Ultraviolence Vs Hellsau,273.3971
Try A Little Tenderness,The Commitments,273.3971
Try A Little Tenderness,Three Dog Night,250.8273
The Way Of The Samurai,Baby Calendar,273.37098
Eddy La Sombra,7 Notas 7 Colores,273.34485
Die For You,Starbreaker,273.18812
Everyone Asks,Bicycle Thief,273.13587
Black is the Colour,Luka Bloom,273.13587
De Oro,D.L.G.,273.13587
Hot Barbecue,Pucho & His Latin Soul Brothers,273.13587
Watershed (Everyone Fucks Everyone),Alien Vampires,273.13587
Away,Nightwish,273.10975
Away,Thavius Beck,140.32934
I Would For You,The Dresden Dolls,273.03138
Big Bounce,David Arkenstone,272.97914
Diversions,Betchadupa,272.90077
Jubilee,Spyro Gyra,272.87465
Citizens (Album Version),The Cult,272.87465
Twin Rocks_ Oregon,Shawn Mullins,272.84853
Maria (Album Version),Still Remains,272.84853
Seeing Is Believing,Three O'Clock,272.8224
Bedstuy Parade & Funeral March,Mos Def,272.79628
Dualhymne,Olaf Schubert,272.69179
Tigergutt (Live At Svalbard),CC Cowboys,272.66567
The Night The Earth Cried,Gravediggaz,272.63955
Twister,Albert Castiglia,272.61342
Disconnected,Cyantific,272.61342
Anybody's Guess,Tin Tin Out,272.5873
Idiosyncrasy,Kris Menace,272.53506
The Great Unrest,Mugison,272.53506
Jeeps_ Lex Coups_ Bimaz & Benz,Lost Boyz,272.50893
Love,Esthetic Education,272.50893
Y Me Debes Creer,Liliana Herrero,272.48281
Don't Rock The Boat,The Wailers,272.48281
Heart Breaking Decision,Meli'sa Morgan,272.45669
Accussì,Nuova Compagnia Di Canto Popolare,272.43057
La Casita Blanca,Joan Manuel Serrat,272.43057
Love Will Take Care Of You,Peabo Bryson,272.40444
El Condor Pasa (If I Could),Emmerson Nogueira,272.37832
Brave New World,Michael Penn,272.32608
Love My Hood,Birdman,272.27383
Busindre Reel,Hevia,272.22159
Falling In Love With You (Edited Version),Chic,272.22159
Feva,Big Mello,272.19546
Barranquilla Barranquilla,Fruko Y Sus Tesos,272.19546
Surround Me,King Midas Sound,272.16934
La Sigo Amando Tanto,Gilberto Santa Rosa,272.16934
Nothing But Fear,Morbid Angel,272.14322
The Moorland Ghost,The Green Pajamas,272.09098
My Heart Cries For You,Serena Ryder,272.09098
Radio Song (Album Version),JET,272.03873
Latin Soul (LP Version),En Vogue,272.03873
Strange Love,Huski,271.98649
Get This Money,Jamie Foxx,271.96036
Dis-Lui Toi Que Je T'Aime,Vanessa Paradis,271.93424
Don't Be Afraid,Love/Hate,271.90812
Don't Be Afraid,Bobby Taylor,167.36608
Take Your Mama,Scissor Sisters,271.85587
Levanta,Outlandish,271.82975
In The Zone,Cali Agents,271.82975
(Don't Go Back To) Rockville (Reckoning),R.E.M.,271.77751
Bellyache,Echobelly,271.77751
Caramel (Walkman Of Sound Mix),Soulwax,271.75138
1982 Robotdance,Ralph Myerz And The Jack Herren Band,271.72526
Rockin' Away,Screamin' Jay Hawkins,271.72526
Apa Kata Bintang,Gita Gutawa,271.72526
You Walked In,Lonestar,271.69914
Maybe Tomorrow,The Rembrandts,271.69914
Diesel Uterus,MNEMIC,271.67302
Taxi,Simon Patterson,271.67302
Smash Into You,Beyoncé,271.62077
Sweetheart Like You,Tony Rice,271.62077
Nel Mio Giardino,Cristina Donà,271.62077
Brave And Crazy (acoustic version),Tom Cochrane,271.56853
C'est Quand Le Bonheur ?,Cali,271.49016
El  Rey De Francia,Azam Ali,271.46404
Sector 9,God Module,271.46404
Plague & Punishment,Ghost of the Russian Empire,271.43791
Sere,Carlos Chaouen (F),271.35955
Wrong (Alexkid May B Mix),Robert Miles,271.3073
Dark Age,Vader,271.3073
Me_ Myself & I,Poisonblack,271.3073
Sense of Anxiety,Freekbass,271.3073
Too Late,The Alan Parsons Project,271.25506
Twilight,U2,271.22893
Together In Electric Dreams,Lali Puna,271.20281
To Catch A Killer,Grimmstine,271.15057
Exactly Where I'm At (LP Version),Ween,271.12444
My Sweet Love Ain't Around,Rhonda Vincent,271.09832
Scream,Black Flag,271.04608
Good Morning Mr. Railroad Man (Album Version),Ry Cooder,270.99383
I Wanna Rock You,Giorgio Moroder,270.96771
History Lessons,Dinosaur Feathers,270.94159
Make A Move,Cypress Hill,270.81098
Generation Landslide (Album Version),Alice Cooper,270.81098
Atlas,Sparta,270.75873
Atlas,Eugene McGuinness,175.04608
Never Let A Chance Go By,Climie Fisher,270.73261
Horizon,Stateless,260.49261
Horizon,Let's Active,270.57587
Bolero sonambulo,Ry Cooder & Manuel Galban,270.57587
To Please U,Howard Hewett,270.54975
Out Of Order (LP Version),DUNCAN SHEIK,270.52363
Laa Laa,J. Holiday,270.52363
Cities in dust,Pato Fu,270.47138
Smoke Signals,The Primeridian,270.44526
Sacrifice (LP Version),Karen Clark Sheard feat. Kierra Sheard,270.41914
I Wanna Be The One,Stevie B,270.41914
Mona Lisa,Robin Thicke,213.99465
Mona Lisa,Me First And The Gimme Gimmes,170.65751
Mona Lisa,Wyclef Jean featuring Refugee Allstars,270.36689
Whisper Your Poetry,Leæther Strip,270.36689
Do You Love What You Feel,Rufus Featuring Chaka Khan,270.34077
The Prisoner (Live),Chris Bailey,270.34077
Il Vento Di Elora,Eugenio Finardi,270.34077
Conquering Heart Dub (Blue King Brown's Be At Peace Remix) [Bonus Track],John Brown's Body,270.31465
I'm The Only Woman,Mary J. Blige,270.2624
Branwin's Secret,Lisa Lynne,270.2624
Nonza,Bertrand Burgalat,270.2624
We're Not Making Love No More,Dru Hill,270.23628
Barefoot Soldier,Eddy Grant,270.18404
It's A Laugh (live),Hall & Oates,270.15791
Dear Lord,Thin Lizzy,270.10567
Tvoy Rok,Teatr Teney,270.10567
Steamtrains To The Milky Way,Danny Wilson,270.10567
You Can Do That,Lisa Stansfield,270.10567
I Wanna Be There,Blessid Union Of Souls,270.07955
Fallacious World,love like blood,270.05342
Rosario,Michael Gettel,270.05342
Ekko,System,269.97506
Shake Down,Akon / Red Café,269.94893
Soul Inside,Soft Cell,269.89669
Close The Door,Regina,269.84444
Rockers East Vancouver,Japandroids,269.7922
Disco Mystic,Lou Reed,269.7922
Endgame,Decadence,269.7922
Give It Everything You Got,Edgar Winter's White Trash,269.73995
Madness Descends,Nuclear Assault,269.71383
Don't Make Me Walk My Own Log,The Van Pelt,269.71383
Nuclear Fire,PRIMAL FEAR,269.71383
Everybody Knows,David Holmes presents The Free Association,269.68771
New York_ NY 10009,Black 47,269.63546
Flying Over Bus Stops,Athlete,269.58322
Walk Away,Donna Summer,269.53098
Walk Away,The Ocean Blue,240.5873
Mais uma vez,Mafalda Veiga e João Pedro Pais,269.50485
Part II,Jannick Top,269.47873
Be A Man,Tesla,269.40036
Make Your Move,Hieroglyphics,269.37424
Higher On Fire,Dream Evil,269.34812
Split Second (Act II_ The Bar Scene),GROVER WASHINGTON_ JR.,269.322
Easier Than Love,Switchfoot,269.322
Playing Nurse,Pluto,269.29587
Scars and Pain,Jemini the Gifted One,269.29587
Give Me That Smile (Live),Sara Gazarek,269.24363
We Don't Talk Anymore,Little Tony,269.19138
Alta tension,Dogma Crew,269.16526
By Twos,Yo La Tengo,269.13914
My Savior My God,Aaron Shust,269.11302
You,Groove Coverage,269.06077
A Festa,Maria Rita,269.06077
Things Stay The Same,Halou,269.03465
El Compadre,Muchachito Bombo Infierno,269.00853
X-plotion,Nonpalidece,268.95628
Gone Too Long,Tab Benoit,268.93016
The Real Johnny Charm,Puny Human,268.85179
Brujita,Nacho Vegas,268.85179
Breaking Point (Album Version),David Sanborn,268.82567
What Could I Do,Will Hoge,268.77342
Full Moon,Sandy Denny,268.72118
No Nonsense,All Natural,268.66893
Wasting My Time,Default,268.66893
Summer Nights,John Travolta / Olivia Newton-John,216.76363
Summer Nights,Lil Rob,268.64281
We Beg_ We Borrow_ We Steal,Blakfish,268.64281
Superstar,Thee S.T.P.,268.64281
Axes Of Evil (Album Version),3 Inches Of Blood,268.59057
Not Like Other Girls,S.O.A.P.,268.53832
To Love Somebody,The Tams,268.53832
Pollen And Salt,Daphne Loves Derby,268.5122
Bleeder,Zombie Girl,268.48608
Cross Bones Style,Cat Power & the Memphis Rhythm Band,268.45995
Us of Lesser Gods,Flogging Molly,268.43383
Come And Get It,Lil Johnson,175.04608
Come And Get It,98º,268.40771
Crystalline Green,Goldfrapp,268.38159
Ah Ndiya,Oumou Sangare,268.32934
Tick Tock,Raphael Saadiq,268.32934
Chevy Smile (featuring Trick Daddy_ Block & Jazze Pha) (Amended Album Version),Yung Joc feat Trick Daddy_ Block & Jazze Pha,268.2771
Il Ragazzo,Francesco De Gregori,268.2771
Candid Lady,Rebecca Pidgeon,268.25098
Inhale The Embers,Setherial,268.22485
Cycles Of You,Joe Bataan,268.19873
Nightmare At 20_000 Feet (Album Version),Schoolyard Heroes,268.17261
Never Let You Go,Mark Medlock,268.17261
Rappresento per il fine settimana,Bassi Maestro,268.09424
Omituista,Zen Cafe,268.06812
Bottom Upwards,Shed Seven,268.042
I Can Read Your Mind,The Doobie Brothers,268.042
Fickle Cycle,Animal Collective,268.042
Midnight Moses [Album Version],Britny Fox,268.01587
We Traveled So Far,Mary Chapin Carpenter,267.93751
Couldn't Find A Reason  (LP Version),Francis Dunnery,267.93751
Cerberus - The Hellhound Awaits,The Showdown,267.91138
Louise,Robert Pete Williams,267.85914
A Rose In The Wind,Anggun,267.83302
Overlord,Sacramentum,267.80689
Ring frei,Eko Fresh feat. Bushido,267.80689
Voo De Icaro,Blasted Mechanism,267.80689
Aleida's Theme,Lady Bug Transistor,267.7024
La Flamme (Album Version),Chaka Khan,267.67628
Spente Le Stelle,Emma Shapplin,267.62404
Autumn Soon (2002 Digital Remaster),The Church,267.62404
Mangled,Cannibal Corpse,267.59791
Höst,Monica Zetterlund,267.59791
Truth No. 2,Dixie Chicks,267.57179
Tragedy [Live - Las Vegas 1997] (Album Version),Bee Gees,267.51955
Shadowlands,Jefferson Starship,267.49342
You Don't Know My Name,Alicia Keys,267.4673
I Can't Get Started,Arturo Sandoval,267.44118
Captain Europe,Hess Is More,267.44118
Nella Fantasia,Paul Potts,267.41506
I Turn To You,Darkseed,267.31057
Vater Unser,Combichrist,267.31057
Khalela,Clif Magness,267.28444
Alive,Jennifer Brown,267.2322
Alive,Artist Vs Poet,240.95302
Trip Hoppin',Aerosmith,267.2322
Brother Can You Spare A Dime,George Michael,267.07546
Latifah's Had It Up To Here (Amended LP Version),Queen Latifah,267.07546
Back A Yard,The In Crowd,267.04934
Gli Amori,Alessandro Safina,267.04934
Law Of The Land,The Undisputed Truth,267.02322
Cortége,Apocalyptica,267.02322
In The End,Ida Maria,266.9971
Bulletproof,The Black Seeds,266.97098
Lonely Won't Leave Me Alone,Glenn Medeiros,266.89261
Too Many Walls,Cathy Dennis,266.86649
16 Days (Album Version),Lori Carson,266.86649
Set Fire To The Hive,Karnivool,266.81424
I Wouldn't Be A Man,Billy Dean,266.78812
Man Above,Rakim feat. Tracey Horton,266.78812
Ignore Them (Still Life),Eddie & The Hot Rods,266.78812
10 minutos,Kid Abelha,266.762
Something Cool,Tierney Sutton,266.762
Hajdemo u planine,Bijelo Dugme,266.65751
Vacancy,As I Lay Dying,266.60526
